"pitch","midi","channel","on_tick","off_tick"
"g",55,4,1344,1536
"d'",62,3,1344,1536
"a",57,2,1344,1536
"a",57,1,1344,1536
"a",57,0,1344,1536
"fis",54,4,1536,1920
"d'",62,3,1536,1920
"d'",62,2,1536,1728
"d'",62,1,1536,1728
"d'",62,0,1536,1728
"d'",62,2,1728,2112
"d'",62,1,1728,2112
"d'",62,0,1728,2112
"a",57,4,1920,2112
"cis'",61,3,1920,2112
"e",52,4,2112,2304
"fis",54,3,2112,2304
"cis'",61,2,2112,2304
"fis'",66,1,2112,2304
"fis'",66,0,2112,2304
"fis",54,4,2304,3072
"a",57,3,2304,3072
"d'",62,2,2304,2880
"a'",69,1,2304,2880
"a'",69,0,2304,2880
"fis'",66,2,2880,3072
"d''",74,1,2880,3072
"d''",74,0,2880,3072
"fis",54,4,3072,3456
"a",57,3,3072,3456
"fis'",66,2,3072,3840
"cis''",73,1,3072,3648
"cis''",73,0,3072,3648
"fis",54,4,3456,3840
"b",59,3,3456,3840
"b'",71,1,3648,3840
"b'",71,0,3648,3840
"fis",54,4,3840,4608
"cis'",61,3,3840,4608
"fis'",66,2,3840,4608
"a'",69,1,3840,4608
"a'",69,0,3840,4608
"g",55,4,4608,5184
"d'",62,3,4608,5184
"g'",67,2,4608,5184
"b'",71,1,4608,5184
"b'",71,0,4608,5184
"g",55,4,5184,5376
"b",59,3,5184,5376
"d'",62,2,5184,5376
"g'",67,1,5184,5376
"g'",67,0,5184,5376
"a",57,4,5376,6144
"a",57,3,5376,6144
"cis'",61,2,5376,6144
"e'",64,1,5376,5952
"e'",64,0,5376,5952
"b'",71,1,5952,6144
"a'",69,0,5952,6048
"b'",71,0,6048,6144
"fis",54,4,6144,6336
"cis'",61,3,6144,6528
"e'",64,2,6144,6528
"a'",69,1,6144,7296
"a'",69,0,6144,6240
"b'",71,0,6240,6336
"e",52,4,6336,6528
"a'",69,0,6336,7296
"d",50,4,6528,6720
"a",57,3,6528,6912
"fis'",66,2,6528,6720
"cis",49,4,6720,6912
"e'",64,2,6720,6912
"b,",47,4,6912,7296
"fis",54,3,6912,7296
"dis'",63,2,6912,7296
